=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.07.01 12:55:02 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ
122.0,-237.0,941.0
55.0,-170.0,849.0
92.0,-151.0,887.0
-30.0,-89.0,784.0
-87.0,65.0,591.0
-166.0,147.0,400.0

-,-,-
426.0,80.0,601.0
415.0,55.0,695.0
370.0,1.0,596.0
250.0,-119.0,538.0
258.0,5.0,494.0
228.0,-198.0,529.0
161.0,72.0,446.0
282.0,-191.0,725.0
66.0,-326.0,1013.0
-2.0,-266.0,926.0
-150.0,-688.0,1548.0
-382.0,-509.0,1440.0
-123.0,-999.0,1937.0
387.0,-883.0,1999.0
208.0,-663.0,1566.0
116.0,-442.0,1174.0
96.0,-342.0,1085.0
146.0,-286.0,1051.0
254.0,-142.0,972.0
168.0,-176.0,997.0
145.0,-112.0,863.0
48.0,-151.0,918.0
-42.0,-130.0,813.0
-60.0,-78.0,649.0

-,-,-
-348.0,224.0,491.0
-250.0,270.0,665.0
-321.0,210.0,604.0
-509.0,101.0,415.0
-415.0,209.0,272.0
-126.0,167.0,415.0
-64.0,-209.0,645.0
-1.0,67.0,590.0
374.0,-467.0,1321.0
245.0,-483.0,1135.0
450.0,-724.0,1681.0
207.0,-588.0,1293.0
526.0,-854.0,1714.0
491.0,-997.0,1871.0
229.0,-878.0,1624.0
88.0,-662.0,1286.0
81.0,-403.0,1012.0
214.0,-284.0,1093.0
293.0,-210.0,1000.0
283.0,-247.0,953.0
166.0,-126.0,872.0
235.0,-48.0,696.0
159.0,-148.0,648.0
341.0,15.0,374.0
206.0,-8.0,252.0

-,-,-
-386.0,250.0,287.0
-361.0,166.0,434.0
-413.0,63.0,430.0
-409.0,105.0,357.0
-82.0,46.0,541.0
-155.0,-221.0,706.0
