=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.07.01 12:55:02 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ
296.0,-226.0,958.0
247.0,-279.0,980.0
442.0,-201.0,803.0
256.0,-339.0,720.0
238.0,-157.0,400.0
247.0,-39.0,296.0

-,-,-
-201.0,184.0,636.0
-252.0,103.0,719.0
-242.0,72.0,660.0
-337.0,70.0,546.0
-253.0,106.0,440.0
-184.0,-18.0,627.0
-242.0,-88.0,620.0
14.0,-77.0,768.0
-132.0,-212.0,899.0
-123.0,-390.0,778.0
157.0,-750.0,1621.0
28.0,-657.0,1214.0
197.0,-722.0,1439.0
216.0,-789.0,1656.0
177.0,-719.0,1624.0
-32.0,-546.0,1366.0
-71.0,-620.0,1420.0
82.0,-528.0,1278.0
132.0,-392.0,1119.0
170.0,-320.0,1009.0
293.0,-273.0,947.0
305.0,-429.0,1091.0
209.0,-377.0,832.0
89.0,-295.0,801.0
531.0,-296.0,746.0
327.0,-38.0,523.0
221.0,52.0,281.0

-,-,-
359.0,290.0,515.0
277.0,40.0,697.0
368.0,32.0,660.0
354.0,-59.0,649.0
367.0,-4.0,552.0
383.0,-54.0,611.0
110.0,-38.0,575.0
232.0,-178.0,709.0
76.0,-201.0,862.0
6.0,-241.0,781.0
20.0,-427.0,1150.0
-194.0,-457.0,1121.0
-118.0,-612.0,1335.0
60.0,-717.0,1624.0
272.0,-786.0,1909.0
256.0,-840.0,1813.0
36.0,-804.0,1499.0
103.0,-669.0,1285.0
152.0,-579.0,1158.0
172.0,-393.0,995.0
293.0,-368.0,1038.0
69.0,-377.0,1076.0
12.0,-223.0,761.0
68.0,-38.0,696.0
-55.0,43.0,543.0
-203.0,-79.0,726.0
-54.0,40.0,505.0
-202.0,-17.0,458.0

-,-,-
399.0,61.0,733.0
375.0,64.0,750.0
269.0,-89.0,771.0
359.0,-106.0,552.0
463.0,184.0,476.0
370.0,79.0,483.0
306.0,-10.0,571.0
227.0,-280.0,781.0
192.0,-357.0,990.0
79.0,-427.0,854.0
7.0,-353.0,966.0
14.0,-594.0,1195.0
9.0,-511.0,1181.0
15.0,-595.0,1285.0
139.0,-714.0,1513.0
226.0,-822.0,1645.0
348.0,-845.0,1685.0
320.0,-725.0,1457.0
280.0,-608.0,1199.0
241.0,-498.0,1176.0
356.0,-385.0,1076.0
321.0,-324.0,1021.0
204.0,-315.0,1000.0
105.0,-146.0,884.0
25.0,9.0,865.0
-57.0,-255.0,946.0
-104.0,-116.0,509.0
83.0,205.0,270.0
-204.0,144.0,122.0

-,-,-
324.0,162.0,1064.0
572.0,81.0,733.0
645.0,114.0,507.0
625.0,-14.0,438.0
541.0,-56.0,403.0
415.0,0.0,340.0
521.0,-178.0,506.0
172.0,-151.0,638.0
63.0,-335.0,793.0
-65.0,-375.0,1067.0
-240.0,-546.0,1313.0
-400.0,-605.0,1174.0
-204.0,-667.0,1539.0
-108.0,-869.0,1867.0
-9.0,-869.0,1967.0
11.0,-741.0,1672.0
62.0,-625.0,1385.0
133.0,-559.0,1237.0
210.0,-483.0,1154.0
243.0,-340.0,1069.0
224.0,-364.0,1033.0
217.0,-278.0,1004.0
223.0,-221.0,979.0
59.0,-141.0,848.0
-168.0,-52.0,747.0
-114.0,43.0,600.0
-265.0,146.0,321.0

-,-,-
306.0,26.0,257.0
431.0,-48.0,542.0
573.0,-65.0,481.0
359.0,-49.0,405.0
380.0,-114.0,363.0
208.0,-5.0,541.0
377.0,-111.0,671.0
109.0,-179.0,1004.0
44.0,-355.0,1191.0
-99.0,-625.0,1590.0
-321.0,-431.0,1365.0
-143.0,-664.0,1730.0
-71.0,-635.0,1717.0
2.0,-738.0,1842.0
-30.0,-681.0,1553.0
20.0,-515.0,1291.0
213.0,-366.0,1167.0
235.0,-302.0,1083.0
198.0,-218.0,1083.0
243.0,-234.0,1129.0
146.0,-148.0,875.0
42.0,-86.0,773.0
-39.0,-198.0,955.0
-88.0,-129.0,501.0

-,-,-
-163.0,201.0,800.0
-266.0,201.0,675.0
-235.0,198.0,657.0
-284.0,217.0,513.0
-231.0,152.0,447.0
-196.0,190.0,436.0
75.0,202.0,325.0
33.0,-141.0,609.0
167.0,-195.0,672.0
208.0,-453.0,824.0
378.0,-663.0,1168.0
380.0,-630.0,1038.0
329.0,-833.0,1307.0
295.0,-789.0,1185.0
328.0,-1142.0,1674.0
406.0,-1299.0,1867.0
205.0,-1148.0,1670.0
0.0,-880.0,1269.0
-69.0,-599.0,1057.0
27.0,-420.0,882.0
171.0,-347.0,934.0
116.0,-285.0,905.0
64.0,-211.0,784.0
211.0,-159.0,869.0
261.0,-166.0,713.0
137.0,-160.0,826.0
221.0,-155.0,638.0
344.0,-73.0,622.0
470.0,-71.0,516.0

-,-,-
-329.0,229.0,748.0
-267.0,97.0,843.0
-263.0,159.0,688.0
-239.0,90.0,644.0
-177.0,229.0,614.0
-101.0,54.0,645.0
-48.0,-17.0,744.0
69.0,112.0,487.0
171.0,-195.0,904.0
49.0,-119.0,728.0
402.0,-354.0,1113.0
388.0,-575.0,1347.0
375.0,-633.0,1417.0
455.0,-788.0,1790.0
350.0,-700.0,1723.0
198.0,-679.0,1634.0
59.0,-605.0,1406.0
4.0,-399.0,1125.0
150.0,-299.0,1057.0
196.0,-199.0,928.0
138.0,-256.0,947.0
85.0,-274.0,1017.0
261.0,-196.0,934.0
246.0,-314.0,975.0
175.0,-248.0,787.0
300.0,-145.0,700.0
541.0,-229.0,660.0
438.0,-43.0,334.0
510.0,79.0,203.0
509.0,3.0,486.0

-,-,-
-319.0,200.0,720.0
-176.0,191.0,696.0
-239.0,226.0,630.0
-270.0,114.0,601.0
-208.0,166.0,501.0
-225.0,59.0,611.0
73.0,-22.0,794.0
69.0,-67.0,822.0
181.0,-135.0,951.0
270.0,-280.0,1070.0
261.0,-392.0,1136.0
333.0,-461.0,1277.0
310.0,-442.0,1182.0
339.0,-635.0,1411.0
382.0,-711.0,1629.0
351.0,-677.0,1643.0
161.0,-616.0,1481.0
40.0,-441.0,1206.0
70.0,-362.0,1142.0
123.0,-254.0,993.0
98.0,-299.0,955.0
231.0,-241.0,904.0
210.0,-202.0,827.0
206.0,-187.0,873.0
186.0,-124.0,731.0
284.0,-53.0,789.0
238.0,-412.0,968.0
271.0,-281.0,650.0
398.0,-177.0,582.0

-,-,-
-376.0,34.0,533.0
-269.0,-26.0,608.0
-300.0,48.0,558.0
-212.0,78.0,398.0
-229.0,-84.0,665.0
-169.0,-65.0,518.0
-79.0,-328.0,823.0
28.0,-479.0,952.0
-26.0,-528.0,907.0
105.0,-762.0,1312.0
104.0,-825.0,1270.0
41.0,-892.0,1413.0
68.0,-819.0,1414.0
-43.0,-738.0,1281.0
-32.0,-762.0,1411.0
-25.0,-694.0,1263.0
-64.0,-596.0,1170.0
94.0,-584.0,1211.0
143.0,-485.0,1096.0
114.0,-365.0,961.0
95.0,-319.0,846.0
238.0,-360.0,916.0
