=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.29 19:25:25 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ
309.0,-745.0,917.0
277.0,-1062.0,1393.0
253.0,-1050.0,1436.0
-28.0,-1037.0,1354.0
-148.0,-879.0,1209.0
-377.0,-855.0,1211.0
-493.0,-772.0,1249.0
-736.0,-801.0,1331.0
-777.0,-709.0,1242.0
-734.0,-506.0,1051.0
-622.0,-418.0,991.0
-484.0,-347.0,949.0
-434.0,-229.0,828.0
-437.0,-150.0,762.0
-366.0,-163.0,748.0
-272.0,-21.0,644.0
-242.0,61.0,513.0
-104.0,20.0,493.0
-154.0,112.0,300.0
-27.0,72.0,199.0
202.0,-35.0,342.0

-,-,-
515.0,-246.0,1022.0
481.0,-145.0,863.0
525.0,-162.0,916.0
731.0,-166.0,926.0
645.0,-231.0,821.0
630.0,-248.0,744.0
576.0,-167.0,619.0
305.0,-255.0,585.0
96.0,-70.0,433.0
-33.0,-130.0,414.0
-112.0,111.0,289.0
-212.0,106.0,297.0
-272.0,-20.0,514.0
-349.0,-107.0,652.0
-458.0,-248.0,813.0
-879.0,-145.0,804.0
-395.0,-511.0,1314.0
-644.0,-167.0,1058.0
-353.0,-758.0,1567.0
-371.0,-560.0,1358.0
32.0,-889.0,1688.0
298.0,-937.0,1697.0
495.0,-988.0,1655.0
368.0,-949.0,1374.0
354.0,-810.0,1122.0
417.0,-786.0,1027.0
593.0,-776.0,931.0
564.0,-625.0,704.0
471.0,-469.0,614.0
507.0,-325.0,500.0
320.0,-134.0,431.0

-,-,-
599.0,-383.0,1318.0
793.0,-494.0,1329.0
762.0,-402.0,1081.0
873.0,-261.0,875.0
1028.0,-313.0,847.0
980.0,-321.0,776.0
823.0,-317.0,668.0
673.0,-299.0,539.0
607.0,-203.0,441.0
339.0,-79.0,325.0
90.0,-9.0,292.0
-11.0,-1.0,427.0
-114.0,114.0,412.0
-128.0,229.0,369.0
-382.0,100.0,458.0
-171.0,104.0,560.0
-325.0,-12.0,729.0
-280.0,-64.0,911.0
-538.0,-42.0,920.0
-403.0,-369.0,1198.0
-401.0,-231.0,1009.0
-208.0,-300.0,1252.0
-200.0,-464.0,1278.0
-404.0,-276.0,969.0
-165.0,-620.0,1453.0
-247.0,-551.0,1318.0
312.0,-926.0,1885.0
37.0,-725.0,1447.0
348.0,-835.0,1470.0
358.0,-762.0,1248.0
404.0,-646.0,1058.0
632.0,-695.0,1052.0
660.0,-575.0,825.0
591.0,-557.0,792.0
489.0,-387.0,576.0
495.0,-265.0,456.0
498.0,-289.0,526.0
381.0,-259.0,451.0

-,-,-
411.0,-181.0,870.0
375.0,-215.0,992.0
452.0,-163.0,1027.0
649.0,-270.0,1051.0
694.0,-231.0,997.0
852.0,-196.0,936.0
792.0,-204.0,780.0
701.0,-165.0,726.0
619.0,-141.0,643.0
407.0,-107.0,597.0
231.0,3.0,366.0
197.0,8.0,518.0
109.0,58.0,480.0
-6.0,118.0,500.0
-149.0,172.0,423.0
-345.0,230.0,404.0
-212.0,-61.0,729.0
-230.0,67.0,715.0
-127.0,-140.0,819.0
-353.0,-129.0,859.0
-112.0,-259.0,1036.0
-261.0,-522.0,1125.0
-201.0,-358.0,1221.0
-128.0,-612.0,1227.0
-97.0,-489.0,1250.0
-83.0,-634.0,1297.0
336.0,-929.0,1630.0
95.0,-733.0,1174.0
455.0,-913.0,1413.0
478.0,-879.0,1228.0
520.0,-833.0,1143.0
749.0,-1035.0,1259.0
593.0,-632.0,758.0
577.0,-440.0,526.0
603.0,-553.0,734.0

-,-,-
452.0,-70.0,1123.0
497.0,-51.0,953.0
513.0,-111.0,804.0
410.0,4.0,774.0
740.0,44.0,867.0
550.0,-31.0,851.0
492.0,34.0,761.0
516.0,18.0,645.0
451.0,128.0,633.0
320.0,159.0,480.0
250.0,177.0,610.0
251.0,167.0,644.0
175.0,216.0,551.0
187.0,242.0,539.0
-31.0,222.0,406.0
-46.0,174.0,516.0
20.0,250.0,585.0
-49.0,50.0,601.0
-119.0,69.0,780.0
-212.0,10.0,568.0
-334.0,-114.0,1040.0
-405.0,-153.0,880.0
-310.0,-288.0,1259.0
-535.0,-226.0,868.0
-114.0,-504.0,1552.0
-291.0,-442.0,1372.0
-111.0,-576.0,1565.0
4.0,-640.0,1526.0
337.0,-686.0,1608.0
277.0,-586.0,1328.0
515.0,-757.0,1427.0
453.0,-687.0,1164.0
369.0,-550.0,939.0

-,-,-
202.0,-389.0,1092.0
269.0,-412.0,1133.0
270.0,-300.0,1026.0
335.0,-275.0,1083.0
398.0,-389.0,1133.0
388.0,-298.0,1054.0
449.0,-295.0,1097.0
576.0,-287.0,1028.0
515.0,-294.0,875.0
579.0,-145.0,846.0
588.0,-234.0,984.0
434.0,-152.0,752.0
431.0,-59.0,604.0
283.0,-8.0,536.0
217.0,49.0,461.0
169.0,-84.0,774.0
92.0,93.0,553.0
138.0,52.0,676.0
38.0,140.0,568.0
-112.0,49.0,480.0
-108.0,160.0,563.0
-79.0,-32.0,676.0
-102.0,10.0,806.0
-169.0,-64.0,747.0
-377.0,115.0,796.0
-284.0,-100.0,840.0
-389.0,-149.0,1044.0
-226.0,-210.0,936.0
-267.0,-250.0,1207.0
-387.0,-310.0,1115.0
39.0,-650.0,1650.0
-235.0,-512.0,1369.0
91.0,-704.0,1501.0
69.0,-649.0,1361.0
212.0,-649.0,1315.0
318.0,-735.0,1310.0
382.0,-702.0,1132.0
464.0,-637.0,1040.0

-,-,-
103.0,90.0,993.0
-3.0,82.0,874.0
14.0,146.0,900.0
-41.0,129.0,948.0
-140.0,89.0,872.0
-229.0,93.0,813.0
-164.0,105.0,800.0
-130.0,127.0,603.0
-154.0,46.0,552.0
78.0,-106.0,645.0
108.0,-145.0,492.0
147.0,-131.0,577.0
284.0,-318.0,486.0
300.0,-429.0,740.0
240.0,-307.0,596.0
369.0,-752.0,1117.0
172.0,-624.0,1003.0
99.0,-971.0,1292.0
-17.0,-966.0,1500.0
-38.0,-919.0,1457.0
-231.0,-938.0,1289.0
-546.0,-882.0,1231.0
-623.0,-810.0,1288.0
-607.0,-764.0,1253.0
-558.0,-636.0,1251.0
-545.0,-506.0,1169.0
-610.0,-528.0,1080.0
-570.0,-385.0,1072.0
-539.0,-345.0,1040.0
-556.0,-282.0,830.0
