=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.29 23:21:22 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ
-676.0,23.0,875.0
-451.0,166.0,929.0
-349.0,205.0,931.0
-262.0,1.0,1058.0
-34.0,16.0,984.0

-,-,-
52.0,242.0,653.0
78.0,513.0,633.0
120.0,335.0,520.0
-52.0,236.0,596.0
125.0,166.0,534.0
219.0,226.0,548.0
100.0,265.0,589.0
233.0,86.0,827.0
-35.0,462.0,448.0
414.0,-17.0,1168.0
-102.0,309.0,616.0
207.0,-287.0,1473.0
-288.0,-143.0,1378.0
-77.0,-479.0,1994.0
-154.0,-166.0,1480.0
75.0,-489.0,1826.0
53.0,-327.0,1453.0
-28.0,-169.0,1002.0
105.0,-247.0,1040.0
93.0,-249.0,986.0
167.0,-185.0,928.0
343.0,-167.0,952.0
265.0,-139.0,929.0
521.0,-127.0,971.0
428.0,34.0,761.0
63.0,-86.0,737.0
-523.0,-372.0,925.0
-771.0,-268.0,836.0
-696.0,-255.0,986.0

-,-,-
96.0,250.0,825.0
203.0,238.0,745.0
48.0,204.0,593.0
25.0,90.0,569.0
-9.0,187.0,513.0
207.0,133.0,520.0
84.0,294.0,656.0
239.0,90.0,838.0
0.0,184.0,649.0
153.0,206.0,764.0
86.0,-16.0,1078.0
-107.0,-64.0,1128.0
-4.0,-295.0,1576.0
-194.0,-502.0,1755.0
-224.0,-435.0,1702.0
-170.0,-407.0,1528.0
393.0,-428.0,1374.0
406.0,-202.0,932.0
401.0,-243.0,873.0
462.0,-303.0,918.0
335.0,-275.0,895.0
281.0,-332.0,1003.0
112.0,-197.0,806.0
-235.0,-215.0,747.0
-682.0,-270.0,760.0

-,-,-
52.0,257.0,662.0
84.0,288.0,699.0
226.0,229.0,578.0
26.0,173.0,550.0
-67.0,228.0,433.0
233.0,25.0,719.0
-2.0,316.0,451.0
350.0,32.0,885.0
69.0,190.0,767.0
169.0,-50.0,1048.0
133.0,-297.0,1225.0
-183.0,-220.0,1056.0
91.0,-470.0,1395.0
-291.0,-428.0,1398.0
-171.0,-610.0,1750.0
-263.0,-568.0,1502.0
-64.0,-391.0,1156.0
87.0,-356.0,1053.0
136.0,-285.0,878.0
193.0,-311.0,895.0
165.0,-329.0,888.0
185.0,-380.0,976.0
163.0,-349.0,985.0
194.0,-281.0,952.0
284.0,-296.0,934.0
55.0,-238.0,814.0
-17.0,-257.0,833.0
-215.0,-376.0,881.0
-320.0,-267.0,846.0
-150.0,-324.0,1086.0
-248.0,-266.0,981.0
-279.0,-312.0,936.0

-,-,-
141.0,359.0,847.0
69.0,396.0,630.0
64.0,265.0,789.0
15.0,322.0,561.0
-43.0,181.0,540.0
12.0,239.0,562.0
206.0,203.0,632.0
71.0,269.0,697.0
137.0,124.0,771.0
101.0,214.0,852.0
345.0,-56.0,1097.0
-154.0,34.0,894.0
138.0,-96.0,1122.0
170.0,-168.0,1302.0
-71.0,-194.0,1296.0
75.0,-301.0,1418.0
-33.0,-243.0,1346.0
-96.0,-254.0,1312.0
101.0,-279.0,1278.0
296.0,-220.0,1169.0
330.0,-275.0,1088.0
285.0,-337.0,895.0
249.0,-420.0,1043.0
285.0,-405.0,982.0
225.0,-330.0,925.0
162.0,-312.0,972.0
55.0,-286.0,910.0
-38.0,-275.0,917.0
-163.0,-250.0,916.0
-283.0,-243.0,819.0
-272.0,-269.0,961.0
-465.0,-271.0,985.0
-155.0,-140.0,945.0

-,-,-
187.0,325.0,645.0
67.0,419.0,724.0
282.0,260.0,692.0
49.0,303.0,636.0
188.0,293.0,542.0
117.0,116.0,621.0
-32.0,287.0,520.0
236.0,16.0,1055.0
-77.0,253.0,566.0
197.0,-67.0,1164.0
-180.0,-56.0,905.0
138.0,-387.0,1464.0
-169.0,-211.0,1091.0
-63.0,-377.0,1264.0
-107.0,-543.0,1399.0
-293.0,-468.0,1555.0
-50.0,-456.0,1563.0
39.0,-393.0,1162.0
208.0,-483.0,1157.0
189.0,-423.0,912.0
225.0,-396.0,888.0
232.0,-337.0,880.0
251.0,-332.0,889.0
167.0,-404.0,969.0
115.0,-390.0,923.0
290.0,-287.0,864.0
6.0,-338.0,876.0
-77.0,-378.0,863.0
-103.0,-293.0,881.0
-285.0,-347.0,901.0

-,-,-
129.0,384.0,817.0
124.0,549.0,615.0
105.0,432.0,696.0
80.0,298.0,721.0
15.0,366.0,544.0
17.0,262.0,563.0
45.0,268.0,603.0
80.0,283.0,641.0
64.0,173.0,748.0
81.0,269.0,757.0
270.0,90.0,1050.0
141.0,145.0,913.0
232.0,3.0,1157.0
-24.0,9.0,993.0
41.0,-278.0,1304.0
-163.0,-327.0,1221.0
-80.0,-371.0,1315.0
-6.0,-321.0,1159.0
-35.0,-233.0,1126.0
-72.0,-328.0,1159.0
-100.0,-398.0,1114.0
-5.0,-503.0,1216.0
96.0,-440.0,1083.0
54.0,-445.0,1027.0
55.0,-415.0,979.0
118.0,-410.0,920.0
124.0,-447.0,965.0
153.0,-411.0,950.0
238.0,-401.0,952.0
208.0,-379.0,880.0
210.0,-380.0,934.0
390.0,-315.0,947.0
190.0,-367.0,859.0
78.0,-256.0,731.0
-152.0,-388.0,828.0
-184.0,-329.0,778.0
-422.0,-373.0,846.0

-,-,-
45.0,375.0,674.0
63.0,324.0,538.0
39.0,322.0,384.0
19.0,391.0,421.0
151.0,193.0,531.0
26.0,346.0,552.0
198.0,145.0,747.0
95.0,330.0,842.0
195.0,292.0,759.0
158.0,49.0,1274.0
-88.0,170.0,943.0
216.0,-198.0,1249.0
-185.0,-43.0,1067.0
31.0,-309.0,1292.0
-55.0,-414.0,1336.0
-18.0,-496.0,1493.0
-31.0,-426.0,1273.0
142.0,-464.0,1482.0
114.0,-383.0,1298.0
67.0,-365.0,1173.0
-7.0,-318.0,1020.0
52.0,-356.0,979.0
268.0,-321.0,930.0
178.0,-300.0,875.0
298.0,-297.0,926.0
312.0,-274.0,894.0
128.0,-312.0,930.0
-31.0,-301.0,833.0
0.0,-221.0,941.0
-270.0,-289.0,866.0
-598.0,-447.0,910.0
-455.0,-266.0,912.0
-437.0,-270.0,944.0

-,-,-
94.0,417.0,816.0
106.0,378.0,777.0
118.0,353.0,766.0
26.0,294.0,686.0
94.0,306.0,731.0
137.0,348.0,696.0
81.0,344.0,535.0
185.0,269.0,735.0
50.0,359.0,612.0
246.0,114.0,830.0
60.0,455.0,546.0
308.0,104.0,887.0
55.0,313.0,752.0
210.0,151.0,821.0
71.0,-13.0,1037.0
19.0,27.0,887.0
130.0,-195.0,1224.0
-152.0,-203.0,1208.0
-34.0,-513.0,1758.0
-194.0,-385.0,1513.0
-165.0,-369.0,1629.0
88.0,-423.0,1478.0
71.0,-399.0,1115.0
140.0,-360.0,957.0
332.0,-360.0,963.0
320.0,-356.0,950.0
346.0,-320.0,880.0
271.0,-252.0,865.0
235.0,-220.0,941.0
113.0,-83.0,765.0
-22.0,-69.0,752.0
-302.0,-111.0,729.0
-463.0,-143.0,742.0

-,-,-
164.0,524.0,584.0
111.0,461.0,760.0
183.0,384.0,793.0
111.0,328.0,759.0
163.0,375.0,755.0
96.0,404.0,579.0
143.0,231.0,528.0
72.0,376.0,582.0
157.0,257.0,689.0
92.0,333.0,702.0
232.0,281.0,835.0
21.0,254.0,770.0
146.0,116.0,1072.0
-66.0,30.0,1025.0
-31.0,-65.0,971.0
-88.0,-104.0,1237.0
31.0,-258.0,1352.0
-23.0,-382.0,1473.0
-263.0,-305.0,1397.0
-138.0,-364.0,1510.0
24.0,-333.0,1328.0
114.0,-291.0,1186.0
69.0,-257.0,964.0
116.0,-303.0,891.0
236.0,-278.0,993.0
285.0,-267.0,962.0
330.0,-323.0,1035.0
150.0,-250.0,889.0
61.0,-243.0,923.0

-,-,-
239.0,411.0,888.0
157.0,396.0,782.0
62.0,419.0,684.0
126.0,309.0,674.0
78.0,367.0,591.0
97.0,400.0,534.0
120.0,215.0,654.0
20.0,374.0,499.0
302.0,161.0,785.0
-2.0,276.0,539.0
298.0,213.0,767.0
105.0,101.0,848.0
67.0,-93.0,1112.0
84.0,-256.0,1277.0
-142.0,-202.0,1297.0
10.0,-337.0,1453.0
41.0,-331.0,1422.0
98.0,-333.0,1406.0
257.0,-461.0,1622.0
233.0,-367.0,1360.0
321.0,-354.0,1236.0
321.0,-266.0,1038.0
338.0,-210.0,893.0
391.0,-238.0,969.0
334.0,-212.0,818.0
81.0,-224.0,758.0
-246.0,-243.0,707.0
-413.0,-281.0,795.0
-579.0,-265.0,822.0
-513.0,-289.0,948.0

-,-,-
