=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.30 10:11:48 =~=~=~=~=~=~=~=~=~=~=~=
        
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ
624.0,-376.0,910.0
702.0,-342.0,880.0
656.0,-406.0,891.0
597.0,-420.0,870.0
628.0,-383.0,981.0
690.0,-408.0,1033.0
582.0,-459.0,1113.0
299.0,-560.0,1227.0
305.0,-392.0,1168.0
-85.0,-420.0,1176.0
-344.0,-444.0,1376.0
-575.0,-175.0,1163.0
-659.0,-153.0,1214.0
-478.0,-145.0,1079.0
-330.0,-94.0,1004.0
-87.0,-37.0,946.0
32.0,-37.0,894.0
102.0,-53.0,843.0
210.0,-93.0,849.0
222.0,-108.0,910.0
424.0,-91.0,899.0
588.0,-118.0,934.0
622.0,-180.0,1003.0
632.0,-123.0,899.0
628.0,-85.0,877.0
577.0,-15.0,793.0
526.0,27.0,752.0
511.0,26.0,834.0
286.0,170.0,760.0

-,-,-
738.0,83.0,712.0
626.0,136.0,737.0
620.0,190.0,712.0
691.0,133.0,835.0
788.0,114.0,888.0
851.0,173.0,776.0
741.0,147.0,744.0
621.0,160.0,611.0
542.0,111.0,646.0
442.0,99.0,644.0
300.0,153.0,654.0
184.0,213.0,626.0
75.0,245.0,570.0
-164.0,270.0,745.0
-125.0,194.0,774.0
-277.0,140.0,1005.0
-333.0,255.0,881.0
-212.0,387.0,842.0
-441.0,193.0,1064.0
-635.0,254.0,1010.0
-409.0,158.0,1025.0
-429.0,142.0,1008.0
-335.0,60.0,946.0
-120.0,20.0,979.0
-80.0,-65.0,1010.0
-16.0,-123.0,930.0
130.0,-153.0,985.0
104.0,-240.0,955.0
280.0,-231.0,892.0
354.0,-343.0,1027.0
379.0,-358.0,985.0
326.0,-242.0,758.0
437.0,-441.0,985.0
543.0,-362.0,870.0
448.0,-422.0,904.0
488.0,-511.0,1045.0
462.0,-562.0,1097.0
292.0,-675.0,1228.0
168.0,-501.0,1121.0
167.0,-497.0,1166.0
-231.0,-526.0,1250.0
-309.0,-332.0,1112.0
-566.0,-405.0,1203.0
-644.0,-156.0,1009.0
-339.0,-76.0,1000.0
-277.0,-39.0,900.0
-154.0,-146.0,1032.0
-5.0,-135.0,1030.0
