=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.29 23:07:56 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ
-44.0,-395.0,627.0
-35.0,-210.0,631.0
-49.0,-372.0,711.0
-98.0,-416.0,760.0

-,-,-
3.0,68.0,1196.0
-241.0,8.0,725.0
-179.0,-45.0,701.0
-311.0,34.0,590.0
-334.0,-15.0,417.0
-468.0,152.0,268.0
-410.0,-66.0,401.0
-362.0,-44.0,373.0
-146.0,-364.0,673.0
-139.0,-439.0,898.0
-247.0,-794.0,1245.0
-218.0,-968.0,1366.0
-154.0,-1132.0,1502.0
-77.0,-926.0,1234.0
-29.0,-1060.0,1294.0
12.0,-1026.0,1078.0
-5.0,-897.0,874.0
43.0,-857.0,753.0
207.0,-911.0,812.0
193.0,-813.0,698.0
125.0,-772.0,691.0
-104.0,-654.0,630.0
-436.0,-483.0,574.0
-916.0,-377.0,678.0
-1181.0,-93.0,671.0
-988.0,-205.0,936.0
-720.0,-246.0,1046.0
-513.0,-407.0,1205.0
-432.0,-345.0,1107.0
-296.0,-447.0,1172.0
-289.0,-364.0,1020.0
-189.0,-342.0,1012.0
-52.0,-498.0,1003.0
-239.0,-339.0,641.0
0.0,-672.0,1006.0
-128.0,-419.0,596.0
42.0,-276.0,500.0
-235.0,-315.0,532.0

-,-,-
-116.0,-82.0,876.0
-324.0,-11.0,768.0
-312.0,-33.0,628.0
-332.0,-70.0,486.0
-363.0,41.0,354.0
-481.0,-40.0,212.0
-450.0,-8.0,316.0
-474.0,-439.0,599.0
-349.0,-248.0,515.0
-153.0,-759.0,1078.0
-107.0,-692.0,1113.0
-17.0,-1029.0,1197.0
-66.0,-1295.0,1526.0
-20.0,-1147.0,1297.0
44.0,-1099.0,1202.0
-56.0,-949.0,866.0
-27.0,-927.0,772.0
16.0,-805.0,649.0
138.0,-752.0,666.0
122.0,-737.0,651.0
117.0,-695.0,685.0
-3.0,-756.0,759.0
-221.0,-642.0,673.0
-542.0,-503.0,595.0
-1006.0,-404.0,494.0
-1034.0,-408.0,584.0
-924.0,-269.0,623.0
-594.0,-339.0,814.0
-417.0,-502.0,986.0
-368.0,-520.0,1028.0
-433.0,-538.0,1045.0
-408.0,-587.0,1094.0
-437.0,-628.0,1088.0
-342.0,-721.0,1097.0
-381.0,-545.0,899.0
-263.0,-533.0,807.0
-61.0,-572.0,891.0
-152.0,-483.0,692.0
-95.0,-270.0,506.0
85.0,-473.0,790.0

-,-,-
-53.0,-213.0,770.0
65.0,-167.0,665.0
189.0,-152.0,539.0
109.0,-174.0,373.0
-6.0,-289.0,368.0
-1.0,-524.0,662.0
-193.0,-615.0,784.0
-153.0,-655.0,1055.0
-406.0,-733.0,1127.0
-598.0,-622.0,1091.0
-698.0,-742.0,1134.0
-613.0,-447.0,1033.0
-565.0,-714.0,1120.0
-450.0,-660.0,974.0
-337.0,-544.0,847.0
-427.0,-557.0,785.0
-507.0,-502.0,684.0
-481.0,-534.0,718.0
-678.0,-530.0,601.0
-477.0,-532.0,604.0
-216.0,-624.0,692.0
-142.0,-674.0,627.0
215.0,-919.0,785.0
298.0,-880.0,651.0
505.0,-1039.0,789.0
361.0,-1002.0,707.0
423.0,-1047.0,841.0
286.0,-1079.0,952.0
230.0,-1021.0,958.0
185.0,-872.0,960.0
208.0,-779.0,1005.0
276.0,-666.0,993.0
285.0,-583.0,951.0
228.0,-576.0,964.0
158.0,-537.0,889.0
129.0,-535.0,869.0
165.0,-214.0,409.0
-376.0,14.0,307.0

-,-,-
100.0,-159.0,637.0
363.0,-101.0,847.0
-49.0,-177.0,752.0
-37.0,-287.0,696.0
-41.0,-278.0,633.0
130.0,-305.0,627.0
250.0,-222.0,595.0
133.0,-455.0,709.0
-107.0,-289.0,707.0
-144.0,-587.0,949.0
-246.0,-726.0,1274.0
-377.0,-613.0,1227.0
-455.0,-727.0,1412.0
-486.0,-526.0,1181.0
-446.0,-521.0,1147.0
-434.0,-452.0,973.0
-408.0,-409.0,881.0
-448.0,-294.0,728.0
-478.0,-391.0,747.0
-352.0,-442.0,799.0
-309.0,-484.0,803.0
-249.0,-505.0,832.0
-143.0,-645.0,909.0
-177.0,-572.0,752.0
-83.0,-653.0,728.0
106.0,-709.0,752.0
81.0,-780.0,744.0
302.0,-760.0,697.0
483.0,-887.0,844.0
478.0,-864.0,758.0
402.0,-758.0,731.0
289.0,-780.0,837.0
272.0,-741.0,906.0
362.0,-805.0,1072.0
420.0,-731.0,1041.0
456.0,-666.0,1036.0
409.0,-699.0,1126.0
307.0,-697.0,1089.0
271.0,-687.0,1118.0
165.0,-464.0,887.0
30.0,-341.0,741.0
-271.0,-225.0,617.0
91.0,-265.0,767.0
-168.0,-97.0,543.0
-389.0,-59.0,551.0
-87.0,-148.0,729.0

